question_set,question,choice,"Mask mandates","School closures","Business closures","Transit","Number infected","Healthcare restrictions"
9,8,2,1,4,3,2,4,2
9,9,1,1,5,2,2,4,1
9,9,2,1,5,3,1,5,3
9,10,1,4,2,1,1,1,1
9,10,2,1,2,2,2,5,3
10,1,1,3,2,2,1,4,2
10,1,2,3,3,2,2,4,2
10,2,1,1,5,3,2,1,1
10,2,2,1,1,1,2,4,2
10,3,1,3,5,1,2,4,3
10,3,2,4,1,3,2,5,2
10,4,1,1,4,3,1,4,1
10,4,2,2,1,1,2,2,1
10,5,1,3,2,3,1,1,1
10,5,2,1,5,1,1,5,3
10,6,1,2,1,1,2,3,1
10,6,2,1,2,2,2,2,1
10,7,1,2,2,3,1,4,2
10,7,2,4,3,1,1,4,1
10,8,1,3,5,1,1,5,2
10,8,2,3,4,3,2,4,3
10,9,1,1,3,2,1,5,3
10,9,2,3,4,2,1,5,3
10,10,1,1,3,1,1,3,1
10,10,2,1,1,3,2,2,1
11,1,1,4,1,1,1,4,3
11,1,2,2,3,3,1,3,1
11,2,1,2,3,3,2,5,1
11,2,2,3,5,3,2,4,3
11,3,1,1,2,1,2,5,1
11,3,2,1,5,2,1,4,3
11,4,1,3,3,1,2,2,1
11,4,2,4,1,1,1,5,3
11,5,1,3,1,2,2,3,1
11,5,2,4,2,3,1,5,1
11,6,1,1,4,1,2,5,1
11,6,2,1,1,3,1,4,1
11,7,1,2,2,1,2,5,3
11,7,2,1,2,2,1,1,1
11,8,1,3,5,2,2,4,2
11,8,2,2,3,2,2,4,2
11,9,1,3,4,3,1,5,2
11,9,2,3,3,3,2,2,1
11,10,1,4,1,1,1,4,2
11,10,2,1,2,2,1,1,1
12,1,1,3,3,1,2,3,1
12,1,2,3,1,1,2,4,1
12,2,1,1,2,2,1,5,2
12,2,2,3,3,2,2,1,1
12,3,1,4,3,3,2,5,2
12,3,2,4,2,3,2,4,3
12,4,1,3,1,1,1,1,1
12,4,2,1,5,1,1,5,3
12,5,1,1,2,2,1,4,2
12,5,2,1,5,3,1,1,1
12,6,1,1,3,3,2,4,1
12,6,2,2,1,2,2,5,3
12,7,1,4,1,1,1,4,1
12,7,2,4,2,1,2,5,3
12,8,1,2,1,2,2,3,1
12,8,2,3,4,1,1,2,1
12,9,1,2,2,3,1,2,1
12,9,2,2,3,2,2,4,2
12,10,1,3,4,2,1,5,1
12,10,2,1,4,3,1,3,1
13,1,1,2,1,3,2,1,1
13,1,2,1,5,1,2,4,3
13,2,1,1,4,1,1,3,1
13,2,2,1,1,2,1,4,2
13,3,1,3,3,2,1,5,1
13,3,2,3,3,3,1,5,3
13,4,1,3,3,2,2,4,3
13,4,2,1,4,1,2,5,2
13,5,1,3,5,2,1,2,1
13,5,2,2,1,2,1,5,3
13,6,1,4,2,2,2,2,1
13,6,2,4,3,1,2,4,1
13,7,1,1,2,3,1,5,1
13,7,2,3,1,3,1,4,2
13,8,1,3,3,1,2,5,2
13,8,2,4,2,3,2,5,1
13,9,1,2,1,3,1,1,1
13,9,2,4,2,1,1,4,2
13,10,1,2,2,1,2,4,3
13,10,2,1,5,2,2,3,1
14,1,1,3,5,3,2,3,1
14,1,2,3,3,2,1,3,1
14,2,1,2,1,3,1,4,2
14,2,2,1,1,3,2,2,1
14,3,1,2,2,1,1,5,1
14,3,2,1,1,2,2,5,3
14,4,1,4,3,3,2,5,1
14,4,2,1,2,1,2,1,1
14,5,1,3,4,3,2,4,2
14,5,2,1,1,1,2,4,2
14,6,1,3,2,3,2,5,2
14,6,2,2,2,1,2,4,3
14,7,1,1,4,1,1,5,1
14,7,2,4,3,1,1,4,3
14,8,1,3,5,2,1,5,1
14,8,2,4,2,3,2,5,3
14,9,1,4,3,2,1,2,1
14,9,2,1,4,1,1,4,2
14,10,1,3,1,2,1,1,1
14,10,2,2,3,2,1,4,1
15,1,1,4,1,3,1,2,1
15,1,2,3,1,1,1,4,3
15,2,1,4,2,1,1,3,1
15,2,2,2,1,3,1,5,2
15,3,1,2,3,3,1,5,2
15,3,2,1,2,3,1,4,1
15,4,1,3,5,1,2,1,1
15,4,2,1,4,1,2,1,1
15,5,1,3,3,2,1,5,2
15,5,2,3,4,2,2,1,1
15,6,1,1,1,2,2,4,3
15,6,2,1,5,2,2,5,1
15,7,1,1,2,2,1,5,1
15,7,2,3,2,1,2,2,1
15,8,1,4,3,1,2,5,1
15,8,2,2,1,2,2,2,1
15,9,1,2,3,3,2,4,2
15,9,2,1,2,3,2,3,1
15,10,1,4,3,3,1,4,3
15,10,2,3,5,2,1,4,3
16,1,1,2,2,1,1,4,1
16,1,2,4,2,2,2,5,2
16,2,1,1,1,3,1,1,1
16,2,2,1,3,3,1,3,1
16,3,1,3,5,3,2,4,3
16,3,2,3,1,3,1,5,1
16,4,1,3,4,2,1,5,3
16,4,2,4,3,1,2,4,2
16,5,1,3,2,1,2,1,1
16,5,2,2,3,2,2,5,1
16,6,1,4,3,3,2,5,2
16,6,2,1,2,2,1,2,1
16,7,1,2,1,1,2,2,1
16,7,2,4,1,3,1,4,3
16,8,1,1,5,1,2,5,2
16,8,2,3,4,3,1,4,3
16,9,1,1,1,1,1,5,1
16,9,2,2,2,2,2,3,1
16,10,1,1,3,1,1,4,1
16,10,2,3,5,2,2,4,3
17,1,1,2,2,3,2,5,3
17,1,2,3,5,1,1,4,3
17,2,1,1,4,2,1,4,2
17,2,2,1,3,1,2,3,1
17,3,1,3,1,2,1,5,1
17,3,2,3,2,2,2,1,1
17,4,1,1,5,3,2,4,2
17,4,2,1,5,3,2,2,1
17,5,1,2,3,2,1,3,1
17,5,2,4,1,2,2,4,2
17,6,1,4,2,3,2,4,2
17,6,2,3,2,3,1,5,1
17,7,1,3,1,2,1,1,1
17,7,2,2,3,1,1,5,2
17,8,1,4,1,3,2,5,3
17,8,2,4,3,1,1,4,3
17,9,1,1,4,1,2,2,1
17,9,2,3,1,2,1,5,1
17,10,1,1,2,1,1,4,1
17,10,2,2,3,1,2,5,3
18,1,1,1,2,2,2,5,2
18,1,2,4,3,3,1,2,1
18,2,1,3,5,1,1,2,1
18,2,2,2,2,3,2,4,3
18,3,1,3,3,2,2,3,1
18,3,2,1,4,3,1,1,1
18,4,1,2,1,2,2,4,2
18,4,2,3,1,2,2,3,1
18,5,1,4,3,3,2,4,3
18,5,2,3,5,1,2,4,3
18,6,1,1,1,2,1,1,1
18,6,2,2,1,3,1,4,1
18,7,1,4,2,1,1,5,1
18,7,2,1,2,2,2,5,2
18,8,1,3,5,1,2,2,1
18,8,2,3,3,3,1,5,3
18,9,1,1,3,2,1,5,2
18,9,2,4,2,3,2,1,1
18,10,1,1,4,1,1,5,1
18,10,2,2,1,1,1,4,1
19,1,1,4,1,2,1,4,3
19,1,2,3,3,2,2,3,1
19,2,1,3,5,3,2,5,1
19,2,2,1,4,1,1,5,3
19,3,1,3,1,2,2,1,1
19,3,2,1,3,1,1,5,3
19,4,1,1,1,1,1,5,2
19,4,2,3,5,2,2,4,2
19,5,1,2,3,3,1,5,2
19,5,2,3,2,1,2,2,1
19,6,1,4,3,1,2,4,3
19,6,2,3,2,3,2,2,1
19,7,1,1,1,3,1,3,1
19,7,2,1,4,1,2,3,1
19,8,1,4,2,3,2,4,1
19,8,2,2,2,2,1,1,1
19,9,1,2,1,3,1,4,2
19,9,2,4,2,2,2,4,1
19,10,1,2,3,1,1,1,1
19,10,2,1,4,2,1,5,1
20,1,1,3,4,2,2,2,1
20,1,2,4,2,3,2,3,1
20,2,1,2,3,1,1,4,3
20,2,2,4,1,1,1,5,1
20,3,1,3,4,3,1,1,1
20,3,2,1,1,1,2,2,1
20,4,1,4,3,2,2,4,2
20,4,2,1,2,2,2,2,1
20,5,1,3,3,2,1,5,2
20,5,2,1,5,1,1,4,3
20,6,1,2,2,2,2,4,1
20,6,2,2,3,3,2,4,2
20,7,1,2,2,2,2,3,1
20,7,2,3,1,3,1,1,1
20,8,1,1,5,1,1,5,3
20,8,2,1,1,1,1,4,3
20,9,1,3,2,3,2,1,1
20,9,2,4,1,2,1,5,1
20,10,1,1,4,3,1,5,2
20,10,2,3,3,3,2,5,1
21,1,1,2,2,2,2,5,2
21,1,2,2,1,2,2,4,2
21,2,1,2,2,1,2,3,1
21,2,2,2,2,1,1,5,2
21,3,1,1,5,3,2,5,3
21,3,2,4,3,2,2,5,1
21,4,1,1,3,1,1,1,1
21,4,2,4,3,3,2,4,3
21,5,1,3,4,1,2,4,1
21,5,2,1,4,1,1,2,1
21,6,1,1,3,1,1,4,3
21,6,2,3,5,3,2,1,1
21,7,1,1,1,1,1,4,1
21,7,2,3,1,3,1,5,3
21,8,1,1,2,3,2,5,2
21,8,2,3,1,2,1,3,1
21,9,1,3,1,2,1,2,1
21,9,2,3,4,3,1,4,1
21,10,1,4,3,3,2,5,3
21,10,2,4,2,2,1,4,2
22,1,1,3,4,1,2,5,1
22,1,2,2,2,2,2,5,3
22,2,1,4,1,1,1,2,1
22,2,2,1,5,2,1,3,1
22,3,1,3,3,1,2,5,3
22,3,2,3,5,3,2,4,2
22,4,1,1,2,3,2,5,2
22,4,2,3,4,2,2,4,1
22,5,1,2,3,1,1,5,1
22,5,2,3,4,2,2,4,3
22,6,1,4,3,3,1,1,1
22,6,2,1,2,3,1,1,1
22,7,1,4,1,1,2,5,2
22,7,2,2,2,1,2,5,2
22,8,1,4,1,2,1,3,1
22,8,2,1,3,3,1,4,3
22,9,1,1,1,3,1,2,1
22,9,2,2,2,1,2,4,1
22,10,1,3,1,3,1,4,2
22,10,2,1,3,2,1,4,1
23,1,1,4,3,1,2,4,2
23,1,2,2,2,3,2,2,1
23,2,1,3,3,3,2,5,1
23,2,2,1,3,1,1,4,1
23,3,1,2,2,2,2,5,2
23,3,2,3,4,3,2,1,1
23,4,1,2,1,2,1,4,1
23,4,2,3,4,1,2,3,1
23,5,1,3,5,2,1,2,1
23,5,2,1,5,3,1,4,1
23,6,1,3,1,3,1,4,3
23,6,2,1,3,3,1,5,2
23,7,1,2,3,2,2,5,3
23,7,2,3,5,2,1,4,3
23,8,1,1,1,2,1,5,2
23,8,2,4,1,1,1,5,3
23,9,1,1,1,1,1,3,1
23,9,2,4,2,1,2,4,3
23,10,1,4,2,1,2,1,1
23,10,2,1,2,3,2,5,1
24,1,1,1,5,3,1,2,1
24,1,2,3,2,2,1,3,1
24,2,1,3,1,1,2,5,2
24,2,2,2,1,1,2,4,2
24,3,1,3,3,3,2,5,3
24,3,2,1,5,1,2,5,3
24,4,1,4,3,1,2,5,3
24,4,2,1,2,2,2,4,3
24,5,1,4,2,2,1,1,1
24,5,2,2,1,1,2,4,1
24,6,1,3,4,2,1,4,2
24,6,2,1,2,2,2,4,1
24,7,1,4,2,1,1,4,1
24,7,2,1,4,3,1,5,2
24,8,1,2,1,3,1,4,3
24,8,2,3,5,2,2,3,1
24,9,1,3,3,3,1,5,1
24,9,2,1,3,3,2,5,1
24,10,1,2,1,1,1,1,1
24,10,2,4,3,3,1,2,1
25,1,1,1,4,1,1,4,3
25,1,2,4,2,1,2,4,3
25,2,1,1,5,3,1,4,2
25,2,2,4,2,2,2,5,3
25,3,1,3,2,3,1,2,1
25,3,2,3,4,2,1,5,1
25,4,1,1,5,2,2,4,3
25,4,2,2,1,2,1,1,1
25,5,1,2,2,3,2,1,1
25,5,2,1,4,3,2,4,1
25,6,1,2,1,2,1,5,2
25,6,2,1,1,1,1,4,3
25,7,1,4,3,3,2,3,1
25,7,2,1,2,1,2,5,2
25,8,1,4,1,3,1,5,2
25,8,2,2,3,1,1,2,1
25,9,1,3,3,2,2,4,1
25,9,2,3,3,3,1,5,2
25,10,1,3,3,1,2,5,1
25,10,2,3,1,2,2,3,1
26,1,1,1,1,1,2,4,1
26,1,2,1,4,3,1,3,1
26,2,1,3,4,3,2,5,3
26,2,2,3,5,1,2,3,1
26,3,1,3,3,2,1,2,1
26,3,2,3,4,1,1,4,2
26,4,1,3,2,3,2,5,1
26,4,2,1,5,3,2,5,3
26,5,1,3,3,1,2,4,2
26,5,2,1,2,2,1,4,3
26,6,1,4,2,1,1,4,2
26,6,2,1,3,3,2,5,2
26,7,1,2,2,3,1,4,1
26,7,2,1,3,2,1,5,3
26,8,1,2,1,1,2,5,2
26,8,2,1,5,2,2,4,1
26,9,1,4,1,2,1,2,1
26,9,2,2,1,2,1,1,1
26,10,1,2,1,3,1,1,1
26,10,2,4,3,1,2,5,1
27,1,1,2,1,3,1,3,1
27,1,2,4,1,3,2,5,1
27,2,1,1,1,3,2,5,3
27,2,2,1,3,3,1,1,1
27,3,1,2,2,2,2,4,2
27,3,2,4,2,2,2,4,3
27,4,1,3,2,3,2,5,3
27,4,2,1,5,2,2,2,1
27,5,1,3,4,3,1,5,1
27,5,2,2,3,1,2,3,1
27,6,1,3,5,3,1,2,1
27,6,2,4,1,2,2,5,1
27,7,1,1,3,1,2,5,2
27,7,2,1,4,1,2,4,2
27,8,1,1,2,1,1,5,2
27,8,2,4,3,2,1,4,1
27,9,1,3,3,1,1,1,1
27,9,2,2,2,2,1,4,3
27,10,1,3,1,1,1,4,3
27,10,2,3,5,1,1,4,1
28,1,1,1,1,2,2,5,2
28,1,2,2,3,1,1,4,3
28,2,1,3,1,3,2,4,1
28,2,2,4,2,3,2,3,1
28,3,1,1,1,2,2,5,1
28,3,2,2,3,3,1,5,1
28,4,1,1,1,3,1,2,1
28,4,2,4,1,1,2,4,3
28,5,1,3,5,1,1,1,1
28,5,2,1,3,3,2,5,3
28,6,1,3,2,2,2,1,1
28,6,2,1,2,1,1,5,2
28,7,1,2,2,3,1,3,1
28,7,2,3,5,2,1,5,2
28,8,1,3,4,1,2,4,2
28,8,2,4,2,2,1,4,3
28,9,1,2,3,2,1,5,2
28,9,2,1,5,3,2,4,1
28,10,1,4,3,2,2,4,1
28,10,2,3,4,1,1,2,1
29,1,1,2,1,3,2,4,2
29,1,2,1,4,2,2,4,3
29,2,1,4,2,1,1,5,3
29,2,2,2,3,3,1,2,1
29,3,1,1,2,3,1,2,1
29,3,2,3,5,1,1,5,1
29,4,1,4,2,3,1,5,3
29,4,2,1,1,2,1,4,3
29,5,1,3,4,2,2,4,1
29,5,2,3,3,2,1,3,1
29,6,1,3,3,3,1,4,2
29,6,2,1,2,2,2,5,1
29,7,1,3,5,1,2,4,2
29,7,2,2,2,1,2,5,1
29,8,1,4,1,3,2,5,2
29,8,2,3,5,2,1,1,1
29,9,1,4,1,1,2,5,3
29,9,2,1,3,2,2,1,1
29,10,1,2,1,1,2,3,1
29,10,2,1,3,1,1,4,1
30,1,1,3,5,3,2,5,1
30,1,2,4,2,2,1,5,1
30,2,1,2,2,1,2,5,3
30,2,2,1,4,2,1,4,3
30,3,1,1,5,2,1,2,1
30,3,2,1,3,2,2,1,1
30,4,1,1,2,1,2,4,2
30,4,2,1,3,3,2,5,1
30,5,1,2,2,3,1,5,3
30,5,2,4,3,1,2,3,1
30,6,1,1,1,2,2,4,1
30,6,2,3,1,1,2,2,1
30,7,1,3,3,1,1,4,2
30,7,2,3,5,3,1,4,3
30,8,1,2,1,2,1,5,3
30,8,2,2,3,3,2,1,1
30,9,1,4,1,2,2,4,1
30,9,2,4,1,1,1,4,2
30,10,1,3,4,3,1,5,2
30,10,2,3,2,3,1,3,1
31,1,1,3,3,1,2,4,2
31,1,2,3,1,2,1,4,2
31,2,1,1,4,3,1,5,1
31,2,2,2,1,1,1,5,3
31,3,1,3,3,1,1,5,2
31,3,2,2,2,3,1,2,1
31,4,1,1,4,2,2,4,1
31,4,2,3,2,2,2,5,3
31,5,1,2,3,3,1,5,1
31,5,2,4,2,3,2,1,1
31,6,1,3,5,2,1,5,3
31,6,2,1,4,1,2,3,1
31,7,1,1,5,2,2,4,2
31,7,2,3,3,3,2,3,1
31,8,1,1,2,2,2,4,2
31,8,2,1,1,1,1,5,1
31,9,1,4,1,1,1,1,1
31,9,2,4,3,3,1,2,1
31,10,1,2,1,2,2,4,3
31,10,2,4,2,3,2,4,1
32,1,1,3,2,2,1,4,3
32,1,2,2,2,2,1,4,3
32,2,1,1,3,2,2,3,1
32,2,2,3,2,2,2,4,2
32,3,1,2,3,1,1,5,1
32,3,2,2,2,3,2,5,2
32,4,1,3,3,1,2,1,1
32,4,2,3,4,2,1,2,1
32,5,1,1,5,2,1,3,1
32,5,2,1,2,3,1,4,1
32,6,1,4,3,3,2,5,2
32,6,2,4,1,3,1,2,1
32,7,1,3,4,1,1,5,3
32,7,2,2,1,3,2,4,3
32,8,1,1,5,3,1,5,1
32,8,2,4,3,2,2,1,1
32,9,1,4,1,3,2,5,1
32,9,2,3,1,1,2,5,2
32,10,1,1,1,1,1,4,3
32,10,2,1,4,1,2,4,1
33,1,1,1,4,2,1,4,1
33,1,2,3,5,1,2,5,3
33,2,1,3,3,2,1,2,1
33,2,2,1,2,3,2,5,3
33,3,1,3,2,2,2,4,2
33,3,2,3,5,2,2,5,2
33,4,1,1,4,2,1,5,1
33,4,2,1,3,2,1,3,1
33,5,1,1,5,3,2,3,1
33,5,2,1,2,3,1,2,1
33,6,1,2,1,3,1,4,2
33,6,2,1,4,3,2,5,3
33,7,1,2,3,1,2,4,1
33,7,2,3,3,1,1,1,1
33,8,1,4,3,1,2,4,1
33,8,2,4,2,1,1,2,1
33,9,1,3,2,3,2,3,1
33,9,2,2,1,2,1,4,2
33,10,1,3,1,1,2,5,3
33,10,2,4,1,3,1,1,1
34,1,1,2,2,2,1,5,1
34,1,2,3,5,2,1,1,1
34,2,1,2,3,1,2,2,1
34,2,2,2,3,2,2,4,1
34,3,1,4,2,1,2,3,1
34,3,2,1,1,1,2,5,2
34,4,1,1,1,3,2,1,1
34,4,2,4,2,1,2,4,1
34,5,1,4,1,1,1,5,3
34,5,2,3,4,3,2,4,2
34,6,1,1,4,3,1,4,1
34,6,2,1,5,2,1,5,3
34,7,1,2,2,2,1,4,2
34,7,2,4,3,2,1,3,1
34,8,1,3,3,1,1,2,1
34,8,2,3,1,1,2,3,1
34,9,1,3,2,3,2,2,1
34,9,2,1,1,3,1,5,3
34,10,1,3,5,3,1,5,3
34,10,2,1,3,3,2,4,2
35,1,1,1,2,2,1,3,1
35,1,2,2,2,1,2,5,1
35,2,1,3,5,1,1,4,3
35,2,2,1,1,1,2,5,1
35,3,1,4,2,3,1,4,2
35,3,2,2,1,1,2,4,1
35,4,1,3,5,1,2,5,3
35,4,2,1,1,3,1,1,1
35,5,1,4,2,1,2,5,2
35,5,2,1,4,2,1,5,1
35,6,1,1,4,2,1,2,1
35,6,2,3,3,3,2,4,2
35,7,1,3,5,2,2,5,3
35,7,2,2,1,2,1,2,1
35,8,1,4,1,3,1,4,3
35,8,2,1,3,2,2,3,1
35,9,1,2,3,3,2,5,3
35,9,2,3,3,3,1,4,2
35,10,1,4,3,3,1,1,1
35,10,2,3,2,1,2,4,2
36,1,1,3,2,1,1,5,1
36,1,2,2,3,2,1,5,3
36,2,1,2,1,3,2,3,1
36,2,2,4,3,1,1,4,1
36,3,1,2,2,3,1,4,3
36,3,2,3,3,1,2,1,1
36,4,1,3,1,2,2,4,3
36,4,2,2,2,1,2,5,2
36,5,1,1,3,2,2,4,3
36,5,2,1,1,1,1,4,2
36,6,1,4,1,2,2,5,2
36,6,2,1,2,2,1,2,1
36,7,1,3,5,3,2,2,1
36,7,2,3,4,3,2,3,1
36,8,1,4,1,1,1,5,2
36,8,2,3,4,3,1,5,1
36,9,1,1,4,2,1,4,3
36,9,2,4,2,2,2,1,1
36,10,1,1,3,3,1,4,1
36,10,2,1,5,3,2,5,1
37,1,1,3,2,1,2,4,2
37,1,2,1,5,2,2,3,1
37,2,1,3,5,1,1,5,2
37,2,2,3,4,1,1,5,2
37,3,1,2,1,3,2,2,1
37,3,2,1,1,2,2,4,3
37,4,1,3,3,1,2,4,3
37,4,2,2,2,2,2,5,1
37,5,1,4,2,3,1,5,1
37,5,2,4,1,2,1,1,1
37,6,1,1,2,1,2,5,1
37,6,2,3,1,1,1,2,1
37,7,1,1,3,3,1,5,2
37,7,2,3,4,2,1,2,1
37,8,1,1,2,2,2,4,1
37,8,2,1,5,2,1,1,1
37,9,1,4,3,1,2,4,3
37,9,2,3,3,3,1,3,1
37,10,1,1,4,3,1,4,3
37,10,2,2,1,3,2,1,1
38,1,1,4,3,1,1,5,2
38,1,2,1,2,1,1,3,1
38,2,1,3,4,1,2,4,1
38,2,2,1,2,2,1,4,3
38,3,1,4,2,3,1,5,3
38,3,2,2,3,2,2,4,1
38,4,1,4,1,3,1,5,2
38,4,2,2,1,3,1,2,1
38,5,1,3,3,2,2,1,1
38,5,2,1,1,3,2,3,1
38,6,1,1,2,3,2,4,1
38,6,2,3,1,2,2,2,1
38,7,1,2,2,1,2,2,1
38,7,2,3,4,3,2,5,1
38,8,1,2,1,2,1,5,3
38,8,2,1,5,2,2,5,3
38,9,1,4,3,3,2,4,2
38,9,2,3,3,1,1,4,2
38,10,1,3,5,2,1,3,1
38,10,2,1,5,1,1,1,1
39,1,1,1,2,2,1,4,1
39,1,2,3,2,3,1,4,2
39,2,1,4,3,3,2,5,2
39,2,2,1,5,2,2,5,3
39,3,1,4,3,1,2,1,1
39,3,2,1,4,3,2,3,1
39,4,1,3,4,3,2,2,1
39,4,2,1,3,1,1,4,1
39,5,1,2,1,2,2,5,2
39,5,2,3,4,3,2,5,3
39,6,1,1,2,1,1,3,1
39,6,2,4,1,2,1,4,3
