,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0191857325165594,0.0162141745078493,1.1832691517703606,0.2367024944384979,0.0162838650542724,1.178205079237357,0.2387148581530584,-0.0125940495188251,0.050965514551944,-0.05561635786450792,-0.14779989364393106,0.038314177874326956
Business_closures_2,0.1145596721080635,0.0401408044495496,2.853945596731778,0.004317992509196,0.0421450780413557,2.718221852517379,0.0065633813778847,0.0358836953869462,0.1932356488291809,-0.3320900943085459,-0.561615097743269,-0.09580306874061822
Business_closures_2_Independent,-0.1624887542838804,0.0647890376328312,-2.50796678297226,0.0121428081438803,0.0690174629925523,-2.3543136365562227,0.0185569462824624,-0.2894752680442297,-0.0355022405235312,-11.121118311577868,-104.62405174832914,73.73312463542926
Business_closures_2_Other,-0.1112408994397678,0.1722112774533528,-0.6459559506484692,0.5183078831099412,0.1581658596589723,-0.7033180212191098,0.4818575824067233,-0.4487750032483393,0.2262932043688036,1.0394835597527057,-10.803148614049487,10.330794366310247
Business_closures_2_Republican,-0.2758395564643321,0.0609108455712058,-4.528578677205698,5.938177042974502e-06,0.0630532083563445,-4.374710877604007,1.215935289144987e-05,-0.3952248137838957,-0.1564542991447686,-2.5642805640656774,-3.806314106420104,-0.3187484607588016
Business_closures_3,0.0075063643545072,0.0394123083414646,0.190457363965408,0.8489507502493001,0.0466294193701333,0.1609791512719352,0.8721098213414038,-0.0697417599947634,0.0847544887037778,-0.021759744948040432,-0.2474751398132446,0.20297166297126318
Business_closures_3_Independent,-0.2787219638247222,0.0644998549610825,-4.321280474086267,1.5512633862790892e-05,0.0781317989450328,-3.5673306846653867,0.0003606362539976,-0.405141679548444,-0.1523022481010004,-19.076396698288715,-184.97033136194145,116.23856197216863
Business_closures_3_Other,-0.1266808304761995,0.1744832261903779,-0.7260344346108004,0.4678176611129252,0.178084607464014,-0.7113519370381193,0.4768661747026639,-0.4686679538093403,0.2153062928569413,1.1837610202633198,-11.505461704256776,10.733590471580744
Business_closures_3_Republican,-0.47952950716246,0.059400715438133,-8.072790093949273,6.661338147750939e-16,0.0716896670693558,-6.688962674335499,2.247579899972152e-11,-0.5959549094212009,-0.3631041049037193,-4.457838501751255,-6.046223190261672,-1.0933264979131607
Healthcare_restrictions_2,-0.1955470061408187,0.0446148807812806,-4.382999634123543,1.1705630963865232e-05,0.0460482436578815,-4.246568177358688,2.170697485692763e-05,-0.2829921724721289,-0.1081018398095085,0.5668593713309643,0.3035003240227035,0.8213751603084414
Healthcare_restrictions_2_Independent,-0.13579707333569,0.07177784877613,-1.891907819071472,0.0585032638164153,0.0748168521208046,-1.8150599695964529,0.0695146940546744,-0.2764816569369049,0.0048875102655247,-9.294275936744286,-91.87812597391438,60.74543920401736
Healthcare_restrictions_2_Other,-0.0444844221518952,0.1820075919852848,-0.2444097065769197,0.8069135249396142,0.1701349035984994,-0.2614655853150144,0.7937334855999141,-0.4012193024430535,0.3122504581392631,0.4156818735273852,-9.79797169664929,10.115910892423955
Healthcare_restrictions_2_Republican,0.0667217534311705,0.0670746886913485,0.9947381752034348,0.3198636223437043,0.0678835014779895,0.9828861502202306,0.3256634749712284,-0.0647446364038726,0.1981881432662137,0.620263814650008,-0.8813356438223744,1.8787777119897613
Healthcare_restrictions_3,-0.355304361860845,0.0452974358290682,-7.843807389045174,4.440892098500626e-15,0.0471320167008657,-7.538492658098351,4.75175454539567e-14,-0.4440873360858187,-0.2665213876358713,1.0299702929256251,0.7463166484064672,1.295973647177818
Healthcare_restrictions_3_Independent,-0.1256452108073475,0.0737936414496371,-1.7026563310756002,0.0886324015853667,0.0780059850672636,-1.6107124433978384,0.1072424122915938,-0.2702807480486364,0.0189903264339413,-8.599458226077825,-86.26517144832464,57.81933822561044
Healthcare_restrictions_3_Other,-0.2408059024562262,0.1894949421080766,-1.2707774665504523,0.2038078273003942,0.2139689997490795,-1.1254242564979888,0.2604092970881888,-0.6122159889880563,0.1306041840756038,2.250195548177809,-16.09294149617717,15.737391607989304
Healthcare_restrictions_3_Republican,-0.0653765001393379,0.0682986812807496,-0.9572146769657272,0.3384589105208833,0.0714429170916906,-0.9150872164896776,0.3601458454413542,-0.1992419154496073,0.0684889151709313,-0.6077579691715415,-1.8865525475721205,0.8979533290876157
